Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Charles Aránguiz,Mid,Leverkusen,Bundesliga,4300.666666666668,2461,1.0168797226009798,84.51409995936622
Tin Jedvaj,Def,Leverkusen,Bundesliga,2155.666666666666,795,1.0094895235273846,78.12654088050319
Wendell,Def,Leverkusen,Bundesliga,4781.216666666666,2348,1.0206192244129602,81.53850085178883
Panagiotis Retsos,Def,Leverkusen,Bundesliga,1801.7,928,1.0608025707040385,83.50053879310357
Lucas Alario,FW,Leverkusen,Bundesliga,1599.6166666666668,311,0.9675036927621864,87.0739549839228
Kai Havertz,Mid,Leverkusen,Bundesliga,3773.85,1487,0.9943125948884128,85.48957632817775
Leon Bailey,Mid,Leverkusen,Bundesliga,2482.4666666666667,858,0.9731189142232758,77.0118881118881
Benjamin Henrichs,Def,Leverkusen,Bundesliga,3878.2,1724,0.9950178459945866,77.99881090487253
Kevin Kampl,Mid,Leverkusen,Bundesliga,2694.4,1646,1.0029060021712988,85.17168894289185
Kevin Akpoguma,Def,Hoffenheim,Bundesliga,1770.55,907,1.033845517633525,85.31532524807076
Kevin Vogt,Def,Hoffenheim,Bundesliga,5620.5666666666675,3968,1.0533510486954347,87.42260584677406
Ádám Szalai,FW,Hoffenheim,Bundesliga,1783.6,349,0.9478339000369971,81.31948424068771
Niklas Süle,Def,Hoffenheim,Bundesliga,2978.7166666666667,2104,1.0355701684817786,88.39567490494326
Sebastian Rudy,Mid,Hoffenheim,Bundesliga,2907.383333333333,1374,0.9959926452438742,84.0339883551675
Eugen Polanski,Mid,Hoffenheim,Bundesliga,953.8166666666664,569,1.0235088431960553,88.25905096660813
Havard Nordtveit,Def,Hoffenheim,Bundesliga,1020.7666666666668,517,1.0422605879535651,84.81044487427471
Mark Uth,FW,Hoffenheim,Bundesliga,3431.1166666666663,797,0.953874851619467,82.8687578419072
Nico Schulz,Mid,Hoffenheim,Bundesliga,1890.95,792,0.9766716870441364,76.79141414141422
Pirmin Schwegler,Mid,Hoffenheim,Bundesliga,430.9333333333333,220,1.0258547453796458,85.07318181818185
Steven Zuber,Mid,Hoffenheim,Bundesliga,3592.483333333333,1601,1.0275085766926515,81.0921923797629
Ermin Bicakcic,Def,Hoffenheim,Bundesliga,1647.15,892,1.038836911549361,87.73609865470861
Lukas Rupp,Mid,Hoffenheim,Bundesliga,2034.6,683,0.9896154401959464,80.04055636896055
Sandro Wagner,FW,Hoffenheim,Bundesliga,3627.666666666667,779,0.8977747137002561,83.79011553273432
Jeremy Toljan,Mid,Hoffenheim,Bundesliga,1563.3166666666662,517,1.0177105873401653,79.82417794970983
Serge Gnabry,FW,Hoffenheim,Bundesliga,1541.033333333333,441,0.9782670697621358,79.50566893424035
Kerem Demirbay,Mid,Hoffenheim,Bundesliga,3492.0166666666664,1485,1.0035370163087078,81.99952861952866
Pavel Kaderábek,Mid,Hoffenheim,Bundesliga,4378.049999999998,1419,0.9831172465255092,75.55320648343915
Nadiem Amiri,Mid,Hoffenheim,Bundesliga,3813.183333333333,1496,1.0070175523806963,82.57560160427819
Andrej Kramaric,FW,Hoffenheim,Bundesliga,4817.4000000000015,1507,1.0077863095213409,80.06668878566705
Fabian Schär,Def,Hoffenheim,Bundesliga,268.25,154,1.0255389819612288,84.84610389610387
Benjamin Hübner,Def,Hoffenheim,Bundesliga,4658.450000000002,2531,1.054664269106896,84.43986566574505
Dennis Geiger,Mid,Hoffenheim,Bundesliga,1615.083333333333,718,1.0354950970998074,86.48454038997225
Florian Grillitsch,Mid,Hoffenheim,Bundesliga,1990.8166666666666,892,1.0186272709376765,84.8543721973096
Marco Terrazzino,FW,Hoffenheim,Bundesliga,381.4,105,0.9897686832740212,85.63809523809523
Stefan Posch,Def,Hoffenheim,Bundesliga,784.8500000000001,420,1.0280974694321996,82.2138095238096
Gotoku Sakai,Def,Hamburg,Bundesliga,5217.666666666666,1985,0.9857176367024306,76.45722921914367
Lewis Holtby,Mid,Hamburg,Bundesliga,3715.166666666666,1342,0.9852198451691244,80.24716840536527
Matthias Ostrzolek,Def,Hamburg,Bundesliga,2085.7500000000005,687,0.9427352606555872,67.93697234352253
André Hahn,FW,Hamburg,Bundesliga,1446.666666666667,223,0.8603908981626693,73.48834080717485
Emir Spahic,Def,Hamburg,Bundesliga,815.25,334,1.0350200748399134,78.97095808383231
Kyriakos Papadopoulos,Def,Hamburg,Bundesliga,4069.45,1182,1.0091185279952632,78.89145516074458
Sejad Salihovic,Mid,Hamburg,Bundesliga,393.44999999999993,176,1.011234398592583,82.03295454545459
Dennis Diekmeier,Def,Hamburg,Bundesliga,3833.6,894,0.973349103276252,64.8146159582401
Filip Kostic,Mid,Hamburg,Bundesliga,5098.049999999998,1188,0.8944102992113506,69.454938271605
Nicolai Müller,Mid,Hamburg,Bundesliga,1987.2666666666669,374,0.9005871406006494,76.00508021390374
Aaron Hunt,Mid,Hamburg,Bundesliga,3576.75,1300,0.9895231404896244,81.46892307692313
Douglas Santos,Def,Hamburg,Bundesliga,4289.683333333333,1574,0.9815397051181778,72.62401524777641
Mergim Mavraj,Def,Hamburg,Bundesliga,2866.2166666666667,835,0.9929838050130082,80.68586826347317
Albin Ekdal,Mid,Hamburg,Bundesliga,2535.3,829,0.9624289791285002,83.09794933655013
Cléber,Def,Hamburg,Bundesliga,283.93333333333334,141,0.993962597555588,77.06099290780143
Johan Djourou,Def,Hamburg,Bundesliga,1192.5666666666666,322,1.0010433409469022,88.10683229813667
Pierre-Michel Lasogga,FW,Hamburg,Bundesliga,600.3666666666667,118,0.946197594242287,84.19067796610169
Rick van Drongelen,Def,Hamburg,Bundesliga,1521.6833333333334,524,0.9849658186446296,81.56984732824438
Michael Gregoritsch,Mid,Hamburg,Bundesliga,1374.0500000000004,295,0.92690034809358,83.74915254237291
Walace,Mid,Hamburg,Bundesliga,2100.183333333333,765,0.9750176446250808,85.93777777777791
Gideon Jung,Mid,Hamburg,Bundesliga,5131.366666666668,1450,0.9980099257395674,81.19606896551727
Gian-Luca Waldschmidt,Mid,Hamburg,Bundesliga,1232.7833333333333,283,0.9438904740668256,81.61095406360424
Bobby Wood,FW,Hamburg,Bundesliga,3862.85,605,0.938516399545435,84.36033057851256
Bakery Jatta,FW,Hamburg,Bundesliga,520.7166666666665,118,0.8975221976472105,79.31440677966094
Vasilije Janjicic,Mid,Hamburg,Bundesliga,510.8,170,1.0072592129484903,84.67941176470592
Tatsuya Ito,Mid,Hamburg,Bundesliga,1022.4666666666664,350,1.0186279689394482,75.1711428571429
Matti Steinmann,Mid,Hamburg,Bundesliga,586.55,343,0.9958517170198296,88.41341107871735
Jann-Fiete Arp,FW,Hamburg,Bundesliga,905.2,118,0.8277203546781721,81.90762711864407
Jonathas,FW,Hannover,Bundesliga,672.7833333333333,114,0.9069085089357164,82.21491228070174
Ihlas Bebou,FW,Hannover,Bundesliga,2238.4666666666667,487,1.0172133276821471,75.09342915811096
Martin Harnik,FW,Hannover,Bundesliga,1990.5666666666666,430,0.8503800480961702,84.23046511627908
Oliver Sorg,Def,Hannover,Bundesliga,1754.4999999999998,591,0.98411426159417,71.35346869712353
Felix Klaus,FW,Hannover,Bundesliga,2037.916666666667,488,0.9502570071797198,79.57295081967212
Matthias Ostrzolek,Mid,Hannover,Bundesliga,2507.5,806,1.0233557358726109,68.37816377171211
Julian Korb,Def,Hannover,Bundesliga,2448.416666666666,719,0.9929900599253207,68.35118219749661
Salif Sané,Def,Hannover,Bundesliga,3029.583333333334,1354,1.036101274126885,85.11056129985232
Pirmin Schwegler,Mid,Hannover,Bundesliga,2424.083333333333,956,0.9981300541169764,84.46757322175736
Marvin Bakalorz,Mid,Hannover,Bundesliga,2156.7333333333336,500,0.9370130247336076,79.18780000000004
Kenan Karaman,Mid,Hannover,Bundesliga,932.8999999999997,213,0.9882204126808442,83.13896713615024
Miiko Albornoz,Def,Hannover,Bundesliga,736.8833333333334,273,1.0674745585230219,72.06080586080584
Niclas Füllkrug,FW,Hannover,Bundesliga,2513.083333333333,468,0.9162130894239496,82.5583333333334
Felipe,Def,Hannover,Bundesliga,463.45000000000016,225,0.9852871170941778,80.29244444444446
Florian Hübner,Def,Hannover,Bundesliga,359.4666666666667,133,1.041032563145683,85.22481203007517
Waldemar Anton,Def,Hannover,Bundesliga,2383.733333333333,958,0.9989519594921288,85.05782881002096
Iver Fossum,Mid,Hannover,Bundesliga,1367.95,539,0.9754258446201424,84.6402597402598
Josip Elez,Def,Hannover,Bundesliga,805.1000000000001,302,1.0034937967699782,80.84337748344376
Timo Hübers,Def,Hannover,Bundesliga,469.91666666666663,140,0.9540804607855266,80.85571428571427
Andreas Christensen,Def,Borussia M.Gladbach,Bundesliga,2897.4666666666667,1730,1.034694993638753,91.00445086705207
Ibrahima Traoré,Mid,Borussia M.Gladbach,Bundesliga,1086.9333333333334,510,1.0033352072340975,77.77980392156861
Matthias Ginter,Def,Borussia M.Gladbach,Bundesliga,3218.5333333333324,1835,1.0283984714541663,87.64719346049081
André Hahn,FW,Borussia M.Gladbach,Bundesliga,1674.1666666666665,281,0.8582248821643607,78.37081850533816
Tobias Strobl,Mid,Borussia M.Gladbach,Bundesliga,1735.1499999999994,925,1.025009221319186,86.16929729729749
Jannik Vestergaard,Def,Borussia M.Gladbach,Bundesliga,5800.416666666668,3366,1.0275219102433204,87.17302436125962
Fabian Johnson,Mid,Borussia M.Gladbach,Bundesliga,1785.0166666666662,446,0.9477630253949711,79.48856502242157
Lars Stindl,FW,Borussia M.Gladbach,Bundesliga,5515.666666666666,2630,0.9865245135995704,86.71992395437253
Julian Korb,Def,Borussia M.Gladbach,Bundesliga,784.4333333333334,409,1.0279373232756115,80.15672371638146
Tony Jantschke,Def,Borussia M.Gladbach,Bundesliga,2279.249999999999,1061,1.00772711473848,78.0958843857997
Oscar Wendt,Def,Borussia M.Gladbach,Bundesliga,5126.816666666668,1998,1.015660505746201,79.73233233233248
